OBJECTID,FID_pak1k_gpo2_urban,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
123,113,5207,828618.8125,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.416666,0.0327083
124,114,5222,10579.78125,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283334,0.00166665
125,115,5244,7694.184082,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216668,0.001388903
126,116,5291,10983.9834,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.001597228
127,117,5296,5306.237793,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.001041667
128,118,5300,10744.88477,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.001388869
129,119,5302,8509.798828,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216668,0.001249992
130,120,5360,10497.12793,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216668,0.001666667
131,121,5363,26049.01172,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.002222203
132,122,5364,5342.163086,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166666,0.000972219
133,123,5372,6165.456055,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001319447
134,124,5378,16414.12109,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.249998,0.001805553
135,125,5380,20061.43164,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.366666,0.003125017
136,126,5385,5392.109375,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001041667
137,127,5391,2041102.25,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,4.866676,0.177013903
138,128,5402,17913.30078,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.350002,0.002916683
139,129,5411,42911.77344,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316666,0.003472203
140,130,5418,16020.10917,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.53369104,0.003156588
141,131,5422,14519.91992,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.35,0.002500008
142,132,5424,18255.67969,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.366666,0.002916633
143,133,5425,90694.07031,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.983332,0.012638861
144,134,5427,29937.32031,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.699996,0.004791667
145,135,5432,7802.794922,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.001388894
146,136,5434,178878.125,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.216662,0.018819489
147,137,5445,5545.088867,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.133332,0.000902772
148,138,5464,15547.56055,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283334,0.001805544
149,139,5484,10007.32617,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.200002,0.001319472
150,140,5486,13822.1875,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001875
151,141,5490,8729.34375,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.001597228
152,142,5491,33911.40256,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.434420096,0.002191116
153,142,5491,138052.8006,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.71285622,0.008919998
154,143,5495,9792.393555,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.316664,0.001805544
155,144,5497,14905.9707,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.366668,0.002499983
